,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY,PROJ_CODE,PROJ_TITLE,CONFIDENTI,POINT_CONF,LATITUDE,LONGITUDE,WEB_LINK,EXTRACT_DA,MIN_TYPE
350,S0021104,PAS 3/7,PAS 3/7,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.94776,121.790604,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021104,2021-07-28,
351,S0021105,Murrin Murrin South 3/8,MM South 3/8,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J04587,Old Project Sites (no tenements) for Atlas,Public,Public,-28.92486,121.803101,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021105,2021-07-28,
352,S0021106,PAS 3/9,PAS 3/9,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.95347,121.788639,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021106,2021-07-28,
353,S0021109,PAS 6/1,PAS 6/1,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.97805,121.772102,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021109,2021-07-28,
354,S0021110,PAS 16/2,PAS 16/2,"Ni, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.96162,121.727798,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021110,2021-07-28,
355,S0021111,PAS 16/1,PAS 16/1,"Ni, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.96336,121.730301,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021111,2021-07-28,
356,S0021147,PAN 13/1 (filled-in),PAN 13/1,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.775804,121.827915,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021147,2021-07-28,
357,S0021169,PAS 14/4,PAS 14/4,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.904249,121.770203,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021169,2021-07-28,
358,S0021213,Argus - Cawse,Argus,Ni,Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J01882,Cawse,Public,Public,-30.389139,121.157402,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021213,2021-07-28,
359,S0021264,Beasley Nickel,Beasley Ni,"Ni, Cu, Pt, Pd",Occurrence,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02899,Beasley Nickel,Public,Public,-22.705959,117.292099,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021264,2021-07-28,
360,S0021269,Helmut South,Helmut S,Ni,Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.5012,121.858803,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021269,2021-07-28,
361,S0021271,Skinner,Skinner,Ni,Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.500629,121.855904,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021271,2021-07-28,
362,S0021272,Winner,Winner,Ni,Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.493361,121.855103,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021272,2021-07-28,
363,S0021280,Lanfranchi Tramways Group,Lanfranchi Group,"Ni, Cu",Mine,Decline,Under Development,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.505461,121.842903,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021280,2021-07-28,
364,S0021282,Flying Fox New Boxcut / Western Areas,Flying Fox Boxcut,Ni,Mine,Decline,Operating,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.421177,119.695596,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021282,2021-07-28,
365,S0021284,Mt Windarra North / Gryphon Nickel,Gryphon Ni,"Ni, Cu, Ag, Co",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,,,Public,Public,-28.513359,122.226196,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021284,2021-07-28,
366,S0021285,Beautiful Sunday,Beautiful Sunday,Ni,Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.345947,119.670145,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021285,2021-07-28,
367,S0021326,PAS 14/5,PAS 14/5,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.90971,121.7742,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021326,2021-07-28,
368,S0021331,PAS 14/1,PAS 14/1,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.887211,121.780899,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021331,2021-07-28,
369,S0021332,PAS 14/2,PAS 14/2,"Ni, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.878771,121.786003,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021332,2021-07-28,
370,S0021333,PAS 14/3,PAS 14/3,"Ni, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00480,Murrin Murrin / Minara,Public,Public,-28.876341,121.792099,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021333,2021-07-28,
371,S0021343,Waterloo Boxcut,Waterloo Boxcut,"Ni, Cu, Co",Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02566,Thunderbox Nickel,Public,Public,-28.13703,120.986,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021343,2021-07-28,
372,S0021374,Mt Goode,Mt Goode,Ni,Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02247,Cosmos,Public,Public,-27.60299,120.576861,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021374,2021-07-28,
373,S0021375,Alec Mairs - Cosmos,Alec Mairs,Ni,Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02247,Cosmos,Public,Public,-27.60121,120.573997,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021375,2021-07-28,
374,S0021377,Riverina Nickel Martins Zone,Martins Zone,"Ni, Co, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02949,Riverina Nickel,Public,Public,-29.74929,120.559601,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021377,2021-07-28,
375,S0021379,Black Range Ni-Sc-PGE,Black Range Ni,"Ni, Co, Pt, Sc, Pd",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02352,Kalgoorlie Nickel Project,Public,Public,-30.349799,120.966303,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021379,2021-07-28,
376,S0021407,Bronzite Ridge,Bronzite Ridge,"Ni, Cu, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02957,Jimberlana Nickel,Public,Public,-32.177997,121.302531,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021407,2021-07-28,
377,S0021408,Scotia Dam,Scotia Dam,"Ni, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02352,Kalgoorlie Nickel Project,Public,Public,-30.188055,121.195241,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021408,2021-07-28,
378,S0021409,Big Four - KNP,Big Four,"Ni, Co, Mn",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02352,Kalgoorlie Nickel Project,Public,Public,-30.1535,121.1788,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021409,2021-07-28,
379,S0021465,Prospero Nickel,Prospero,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J02247,Cosmos,Public,Public,-27.638546,120.581727,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021465,2021-07-28,
380,S0021470,Alec Mairs 2,AM 2,"Ni, Cu",Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02247,Cosmos,Public,Public,-27.606661,120.570702,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021470,2021-07-28,
381,S0021477,Cattle Creek - Wills Creek,Cattle Creek,"Ni, Cu, PGE, Co",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J04229,Wills Creek / Western Iron,Public,Public,-17.467331,128.088104,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021477,2021-07-28,
382,S0021478,Sparrow - Wills Creek,Sparrow,"Ni, Cu, PGE",Prospect,Outcrop,Undeveloped,NICKEL,STEEL ALLOY METAL,J04229,Wills Creek / Western Iron,Public,Public,-17.473551,128.068405,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021478,2021-07-28,
383,S0021490,Hilditch,Hilditch,"Ni, Cu, Co",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J02966,Hilditch,Public,Public,-31.301291,121.472702,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021490,2021-07-28,
384,S0021500,Burnam,Burnam,"Ni, Cu, Au, S",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J00677,Spargoville Nickel,Public,Public,-31.302561,121.453697,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021500,2021-07-28,
385,S0021501,Kemble,Kemble,"Ni, Au",Occurrence,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,,,Public,Public,-31.322941,121.460701,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0021501,2021-07-28,
