,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY,PROJ_CODE,PROJ_TITLE,CONFIDENTI,POINT_CONF,LATITUDE,LONGITUDE,WEB_LINK,EXTRACT_DA,MIN_TYPE
0,,Andover VC-07,Andover VC-07,"Ni, Cu, Co",Occurrence,Drillhole,Exploration,NICKEL,STEEL ALLOY METAL,,,Public,Public,,,,,Orthomagmatic - mafic intrusion
1,,Andover VC-23,Andover VC-23,"Ni, Cu, Co",Occurrence,Drillhole,Exploration,NICKEL,STEEL ALLOY METAL,,,,,,,,,Orthomagmatic - mafic intrusion
2,S0000192,Flying Fox Old - OTZ / Outokumpu,Flying Fox Old,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.416982,119.689058,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000192,2021-07-28,
3,S0000193,West Quest Nickel,West Quest Ni,"Ni, Cu",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.26389,119.7708,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000193,2021-07-28,
4,S0001174,Halleys,Halleys,"Ni, Co, Mg",Mine,Openpit,Operating,NICKEL,STEEL ALLOY METAL,J02145,Ravensthorpe - First Quantum,Public,Public,-33.633382,120.374303,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001174,2021-07-28,
5,S0001178,Black Swan - Gosling,Black Swan,Ni,Mine,Openpit,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00452,Silver Swan - Black Swan,Public,Public,-30.393502,121.648875,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001178,2021-07-28,
6,S0001188,Avalon Group,Bulong,"Ni, Co",Mine,Openpit,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00461,Avalon,Public,Public,-30.736222,121.80277,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001188,2021-07-28,
7,S0001197,Byro East,Byro East,"Ni, Cu, Au, Pt, Pd, Cr",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00470,Byro Nickel,Public,Public,-26.037849,116.387001,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001197,2021-07-28,
8,S0001204,Carr Boyd Rocks,Carr Boyd Rocks,"Ni, Cu, Gsp",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J00477,Carr Boyd Nickel,Public,Public,-30.065901,121.626099,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001204,2021-07-28,
9,S0001218,Cosmic Boy,Cosmic Boy,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.582031,119.741699,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001218,2021-07-28,
10,S0001221,Mt Edwards 132N,132N,"Ni, Gsp",Mine,Openpit,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.457821,121.539299,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001221,2021-07-28,
11,S0001233,Dordie - Dordie Rocks North,Dordie Rocks N,"Ni, Cu",Mine,Openpit,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02789,Widgiemooltha Nickel / Mincor,Public,Public,-31.585094,121.63292,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001233,2021-07-28,
12,S0001236,GSP,GSP,"Ni, PGE, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J01383,Mt Jewell - Scotia East,Public,Public,-30.18314,121.455597,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001236,2021-07-28,
13,S0001248,Forrestania Group,Forrestania,Ni,Mine,Decline,Operating,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.421177,119.695596,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001248,2021-07-28,
14,S0001258,Goliath North - Mt Keith Satellite,Goliath North,Ni,Mine,Openpit,Under Development,NICKEL,STEEL ALLOY METAL,J00756,Mt Keith / BHP Billiton,Public,Public,-27.44562,120.586754,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001258,2021-07-28,
15,S0001273,Honeymoon Well Group,Honeymoon Well,Ni,Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00541,Honeymoon Well,Public,Public,-26.92182,120.380699,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001273,2021-07-28,
16,S0001284,Blair Openpit,Blair Pit,Ni,Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J02439,Golden Ridge Nickel,Public,Public,-30.91061,121.716698,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001284,2021-07-28,
17,S0001285,Cameron - Kambalda,Cameron,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J03502,Bluebush Line - Republican Hill,Public,Public,-31.6376,121.828796,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001285,2021-07-28,
18,S0001286,Carnilya Hill - Carnilya East,Carnilya Hill E,"Ni, Cu",Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02715,Carnilya Hill,Public,Public,-31.054265,121.864986,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001286,2021-07-28,
19,S0001287,Cruickshank,Cruickshank,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.466473,121.889248,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001287,2021-07-28,
20,S0001288,Durkin North,Durkin N,"Ni, Cu, Co",Mine,Decline,Proposed,NICKEL,STEEL ALLOY METAL,J02628,Kambalda / Mincor,Public,Public,-31.164049,121.661201,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001288,2021-07-28,
21,S0001289,Cooee East,Cooee E,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J04621,Foster / Jan,Public,Public,-31.34444,121.7889,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001289,2021-07-28,
22,S0001290,Edwin,Edwin,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.5025,121.834619,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001290,2021-07-28,
23,S0001291,Fisher - Kambalda,Fisher,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J04621,Foster / Jan,Public,Public,-31.19653,121.658503,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001291,2021-07-28,
24,S0001292,Foster,Foster,"Ni, Cu",Mine,Unspecified,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J04621,Foster / Jan,Public,Public,-31.34482,121.757797,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001292,2021-07-28,
25,S0001293,Gibb South,Gibb S,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J02628,Kambalda / Mincor,Public,Public,-31.182914,121.682,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001293,2021-07-28,
26,S0001294,Gordon-Loreto Group,Gordon-Loreto Gp,"Ni, Cu",Mine,Stope,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00551,Kambalda / BHP,Public,Public,-31.180241,121.649101,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001294,2021-07-28,
27,S0001295,Hunt,Hunt,Ni,Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02719,Kambalda Nickel / RNC,Public,Public,-31.218424,121.680585,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001295,2021-07-28,
28,S0001296,Jan,Jan,"Ni, Cu",Mine,Unspecified,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J04621,Foster / Jan,Public,Public,-31.37222,121.7917,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001296,2021-07-28,
29,S0001297,John,John,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.489915,121.87563,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001297,2021-07-28,
30,S0001298,Otter-Juan,Otter-Juan,"Ni, Gsp",Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02628,Kambalda / Mincor,Public,Public,-31.166599,121.651802,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001298,2021-07-28,
31,S0001300,Lanfranchi,Lanfranchi,"Ni, Cu",Mine,Decline,Under Development,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.505461,121.842903,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001300,2021-07-28,
32,S0001301,Long Shaft,Long Shaft,Ni,Mine,Shaft,Proposed,NICKEL,STEEL ALLOY METAL,J02628,Kambalda / Mincor,Public,Public,-31.17776,121.678449,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001301,2021-07-28,
33,S0001302,Lunnon,Lunnon,"Ni, Cu",Mine,Shaft,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00551,Kambalda / BHP,Public,Public,-31.21389,121.6806,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001302,2021-07-28,
34,S0001303,McComish,McComish,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.495593,121.874497,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001303,2021-07-28,
35,S0001304,McMahon Decline Group,McMahon,"Ni, Cu, Co",Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02628,Kambalda / Mincor,Public,Public,-31.17276,121.640999,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001304,2021-07-28,
36,S0001305,Armstrong - Kambalda,Armstrong,Ni,Mine,Openpit,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.427071,121.529146,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001305,2021-07-28,
37,S0001307,Foster Northwest,Foster NW,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J04621,Foster / Jan,Public,Public,-31.342581,121.749802,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001307,2021-07-28,
38,S0001309,Schmitz,Schmitz,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J02900,Lanfranchi Tramways,Public,Public,-31.49954,121.855904,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001309,2021-07-28,
39,S0001310,Stockwell,Stockwell,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J03502,Bluebush Line - Republican Hill,Public,Public,-31.583151,121.764801,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001310,2021-07-28,
40,S0001313,Widgiemooltha Dome Group,Widgie Dome Gp,"Ni, Cu",Mine,Shaft,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00551,Kambalda / BHP,Public,Public,-31.21389,121.6806,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001313,2021-07-28,
41,S0001314,Victor South Underground,Victor South,"Ni, Cu",Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02628,Kambalda / Mincor,Public,Public,-31.198129,121.689536,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001314,2021-07-28,
42,S0001315,Wannaway,Wannaway,"Ni, Cu, Co",Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02789,Widgiemooltha Nickel / Mincor,Public,Public,-31.606319,121.521103,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001315,2021-07-28,
43,S0001316,Widgie Townsite,Widgie Townsite,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.50285,121.574799,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001316,2021-07-28,
44,S0001317,Widgie 3,Widgie 3,"Ni, Cu",Mine,Openpit,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.519131,121.587502,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001317,2021-07-28,
45,S0001319,Mt Edwards 14N,Mt Edwards 14N,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.49188,121.5392,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001319,2021-07-28,
46,S0001321,Mt Edwards 332N,Mt Edwards 332N,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.40836,121.523399,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001321,2021-07-28,
47,S0001322,McEwen,McEwen,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.4049,121.518501,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001322,2021-07-28,
48,S0001323,Zabel - 384N,Zabel,Ni,Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.388029,121.512497,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001323,2021-07-28,
49,S0001328,Kingston / BHPB,Kingston/BHPB,Ni,Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00756,Mt Keith / BHP Billiton,Public,Public,-26.964861,120.415802,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001328,2021-07-28,
50,S0001336,Linger and Die Nickel,Linger and Die/WMC,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J01244,Linger and Die Nickel,Public,Public,-30.254089,121.029984,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001336,2021-07-28,
51,S0001337,Liquid Acrobat,Liquid Acrobat,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.540119,119.7379,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001337,2021-07-28,
52,S0001344,Mariners - Lake Zot,Mariners,"Ni, Cu, Co",Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J02789,Widgiemooltha Nickel / Mincor,Public,Public,-31.630012,121.655921,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001344,2021-07-28,
53,S0001347,Merlon,Merlon,Ni,Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00440,Leinster,Public,Public,-27.863541,120.733398,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001347,2021-07-28,
54,S0001355,Miriam,Miriam,"Ni, Au, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00580,Miriam Nickel,Public,Public,-31.052757,121.10411,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001355,2021-07-28,
55,S0001361,Mt Sholl  B2 Resource Group,Mt Sholl B2,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J04952,Mt Sholl,Public,Public,-20.92137,116.887604,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001361,2021-07-28,
56,S0001375,Cliffs Underground,Cliffs,"Ni, Cu",Mine,Decline,Operating,NICKEL,STEEL ALLOY METAL,J00440,Leinster,Public,Public,-27.304974,120.541753,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001375,2021-07-28,
57,S0001391,Mt Windarra,Mt Windarra,"Ni, Cu",Mine,Shaft,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00612,Windarra / Poseidon,Public,Public,-28.486819,122.238466,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001391,2021-07-28,
58,S0001401,New Morning,New Morning,Ni,Mine,Openpit,Proposed,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.453931,119.677543,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001401,2021-07-28,
59,S0001425,Pyke Hill,Pyke Hill,"Ni, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00643,Pyke Hill,Public,Public,-29.05341,122.15153,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001425,2021-07-28,
60,S0001427,Ratbat,Ratbat,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.548458,119.7379,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001427,2021-07-28,
61,S0001433,Redross Opencut,Redross Pit,"Ni, Cu, Co",Mine,Openpit,Proposed,NICKEL,STEEL ALLOY METAL,J02789,Widgiemooltha Nickel / Mincor,Public,Public,-31.683241,121.648903,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001433,2021-07-28,
62,S0001440,Ruth Well,Ruth Well,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J04951,Ruth Well,Public,Public,-20.86838,116.865501,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001440,2021-07-28,
63,S0001442,Savannah Openpit,Savannah OP,"Ni, Cu, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00656,Savannah Nickel,Public,Public,-17.34893,128.022095,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001442,2021-07-28,
64,S0001444,Scotia - Broad Arrow,Scotia,"Ni, Co, Cu",Mine,Shaft,Shut,NICKEL,STEEL ALLOY METAL,J00658,Scotia Nickel - Broad Arrow,Public,Public,-30.198942,121.274064,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001444,2021-07-28,
65,S0001447,Seagull,Seagull,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.556789,119.737602,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001447,2021-07-28,
66,S0001451,Sherlock Bay - Discovery & Symonds Lodes,Sherlock Bay,"Ni, Cu, Co",Mine,Openpit,Proposed,NICKEL,STEEL ALLOY METAL,J00665,Sherlock Bay,Public,Public,-20.813049,117.5457,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001451,2021-07-28,
67,S0001456,Six Mile Well - Mt Keith Satellite,Six Mile Well,Ni,Mine,Openpit,Operating,NICKEL,STEEL ALLOY METAL,J00756,Mt Keith / BHP Billiton,Public,Public,-27.422664,120.57824,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001456,2021-07-28,
68,S0001460,Diggers Rocks South,Diggers Rocks South,"Ni, Cu",Mine,Decline,Proposed,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.721403,119.811978,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001460,2021-07-28,
69,S0001461,Windarra South Opencut,Windarra S,"Ni, Cu",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00612,Windarra / Poseidon,Public,Public,-28.61256,122.241096,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001461,2021-07-28,
70,S0001464,Spargoville 1A,Spargoville 1A,Ni,Mine,Unspecified,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00677,Spargoville Nickel,Public,Public,-31.32065,121.491699,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001464,2021-07-28,
71,S0001466,Spargoville 3 - Andrews Shaft - 5D,Spargoville 3,Ni,Mine,Shaft,Shut,NICKEL,STEEL ALLOY METAL,J00677,Spargoville Nickel,Public,Public,-31.3573,121.5,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001466,2021-07-28,
72,S0001467,Spargoville 5A,Spargoville 5A,"Ni, Cu, Co, Pt, Pd",Mine,Openpit,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00677,Spargoville Nickel,Public,Public,-31.353808,121.506405,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001467,2021-07-28,
73,S0001476,Trough Well,Trough Well,"Ni, Cu, Au",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00690,Bullfinch North / Nickel Base Metals,Public,Public,-30.670809,118.973925,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001476,2021-07-28,
74,S0001480,Unimin 1,Unimin 1,"Ni, Cu, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02789,Widgiemooltha Nickel / Mincor,Public,Public,-31.578228,121.642676,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001480,2021-07-28,
75,S0001491,Weebo Bore,Weebo Bore,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00440,Leinster,Public,Public,-28.0424,120.818703,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001491,2021-07-28,
76,S0001506,Wingellina - Claude Hills,Wingellina,"Ni, Fe, Co, Sc",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00717,Wingellina,Public,Public,-26.03964,128.939301,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001506,2021-07-28,
77,S0001519,Yakabindie Group,Yakabindie,Ni,Mine,Openpit,Operating,NICKEL,STEEL ALLOY METAL,J00756,Mt Keith / BHP Billiton,Public,Public,-27.422664,120.57824,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001519,2021-07-28,
78,S0001583,Rockys Reward Openpit,Rockys Reward Pit,"Ni, Cu",Mine,Openpit,Operating,NICKEL,STEEL ALLOY METAL,J00440,Leinster,Public,Public,-27.791439,120.697197,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001583,2021-07-28,
79,S0001584,Leinster Underground Group,Leinster,"Ni, Cu, Gsp",Mine,Decline,Operating,NICKEL,STEEL ALLOY METAL,J00440,Leinster,Public,Public,-27.818119,120.705597,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001584,2021-07-28,
80,S0001585,Perseverance  Underground,Perseverance UG,"Ni, Cu, Gsp",Mine,Decline,Operating,NICKEL,STEEL ALLOY METAL,J00440,Leinster,Public,Public,-27.818119,120.705597,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001585,2021-07-28,
81,S0001627,Lake Lefroy,Lake Lefroy,"Ni, Cu",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02719,Kambalda Nickel / RNC,Public,Public,-31.243521,121.698196,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001627,2021-07-28,
82,S0001628,Diggers Rocks Openpit,Diggers Rocks Pit,"Ni, Cu",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J00757,Forrestania Nickel / Western Areas,Public,Public,-32.717295,119.80873,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001628,2021-07-28,
83,S0001667,Mt Keith Open Pit,Mt Keith,Ni,Mine,Openpit,Operating,NICKEL,STEEL ALLOY METAL,J00756,Mt Keith / BHP Billiton,Public,Public,-27.229599,120.54174,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001667,2021-07-28,
84,S0001680,Radio Hill Group,Radio Hill Gp,"Ni, Cu, Pd, Co",Mine,Decline,Care and Maintenance,NICKEL,STEEL ALLOY METAL,J00763,Radio Hill Nickel,Public,Public,-20.985479,116.866849,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001680,2021-07-28,
85,S0001683,Pioneer JH,Pioneer JH,"Ni, Cu, PGE",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J00764,Pioneer Nickel,Public,Public,-31.974787,121.64313,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001683,2021-07-28,
86,S0001684,Linger and Die Group,Linger and Die,"Ni, Co",Mine,Openpit,Shut,NICKEL,STEEL ALLOY METAL,J01244,Linger and Die Nickel,Public,Public,-30.254089,121.029984,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001684,2021-07-28,
87,S0001687,Lake Rebecca Nickel Resource Group,Lake Rebecca Ni Res Gp,"Ni, Co",Deposit,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J02352,Kalgoorlie Nickel Project,Public,Public,-30.056431,122.356697,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001687,2021-07-28,
88,S0001688,Mt Edwards 26N,Mt Edwards,"Ni, Cu",Mine,Decline,Shut,NICKEL,STEEL ALLOY METAL,J02592,Mt Edwards Nickel,Public,Public,-31.48288,121.539299,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0001688,2021-07-28,
