SiteCode,StartDate,EndDate,Tonnage (Mt),Grade,GradeUnit,CommodityName,ContainedMetal,ContainedMetalUnit,CutOffGrade,TargetCommodityGroup,quantity(tonne),ppm
S0000595,30/06/2017,29/06/2019,0.511549,2.2,gram/tonne,Gold,1125.4078,kilogram,0.5,GOLD,1.1254077999999998,2.2
S0000595,30/06/2017,29/06/2019,1.214879,2.08,gram/tonne,Gold,2526.94832,kilogram,,GOLD,2.52694832,2.08
S0000596,30/06/2016,29/06/2019,0.006358,3.81,gram/tonne,Gold,24.22398,kilogram,0.7,GOLD,0.024223980000000003,3.81
S0000596,30/06/2016,29/06/2019,0.046683,2.68,gram/tonne,Gold,125.11044,kilogram,0.7,GOLD,0.12511044,2.68
S0000596,30/06/2016,29/06/2019,0.183449,1.8,gram/tonne,Gold,330.2082,kilogram,0.7,GOLD,0.33020819999999995,1.8
S0000596,30/06/2016,29/06/2019,0.020302,0.45,gram/tonne,Gold,9.1359,kilogram,,GOLD,0.009135899999999999,0.45
S0000598,18/10/1993,18/10/1994,0.35,3.5,gram/tonne,Gold,1225.0,kilogram,,GOLD,1.225,3.5
S0000599,31/12/1994,08/09/2006,0.1,3.5,gram/tonne,Gold,350.0,kilogram,,GOLD,0.35,3.5
S0000600,31/03/2001,16/05/2001,0.017,2.2,gram/tonne,Gold,37.4,kilogram,,GOLD,0.037399999999999996,2.2
S0000605,31/12/2005,31/03/2009,0.019,2.7,gram/tonne,Gold,51.3,kilogram,,GOLD,0.0513,2.7
S0000605,31/12/2005,31/03/2009,0.102,1.7,gram/tonne,Gold,173.4,kilogram,,GOLD,0.1734,1.7
S0000608,30/09/2020,,0.149,1.9,gram/tonne,Gold,283.1,kilogram,,GOLD,0.2831,1.9
S0000609,30/06/1995,,0.276,1.9,gram/tonne,Gold,524.4,kilogram,0.5,GOLD,0.5244,1.9
S0000613,30/09/2020,,1.124,1.7,gram/tonne,Gold,1910.8,kilogram,,GOLD,1.9108,1.7
S0000627,01/01/1989,26/03/2004,0.054,8.87,gram/tonne,Gold,478.98,kilogram,,GOLD,0.47898,8.87
S0000631,01/01/1989,01/03/1990,0.6,0.15,gram/tonne,Gold,90.0,kilogram,,GOLD,0.09,0.15
S0000632,31/12/1990,13/06/2005,0.305,1.64,gram/tonne,Gold,500.2,kilogram,0.5,GOLD,0.5002,1.64
S0000632,31/12/1990,13/06/2005,0.19,1.07,gram/tonne,Gold,203.3,kilogram,0.5,GOLD,0.2033,1.07
S0000635,30/06/2018,29/06/2019,1.008,3.0,gram/tonne,Gold,3024.0,kilogram,,GOLD,3.024,3.0
