,minedex_coords,minedex_site,wamex_lat,wamex_lon,distance
3472,"(-21.228789, 119.276288)",S0004433,-21.343698,119.280413,12.730011588855069 km
3473,"(-23.715655, 119.281652)",S0002505,-23.720042,119.286168,0.6694362586362227 km
3474,"(-21.079196, 116.927548)",S0001501,-21.032873,116.97491,7.108758584371661 km
3475,"(-21.079069, 116.923897)",S0019518,-21.032873,116.97491,7.36682263809068 km
3476,"(-21.066667, 116.936068)",S0022459,-21.032873,116.97491,5.504318091282797 km
3477,"(-21.079069, 116.923897)",S0023122,-21.032873,116.97491,7.36682263809068 km
3478,"(-20.77564, 118.781097)",S0022306,-20.871677,118.690168,14.235183522596428 km
3479,"(-24.638213, 118.585512)",S0001538,-24.64819,118.612408,2.9386598663679138 km
3480,"(-24.638213, 118.585512)",S0001538,-24.654229,118.614214,3.404471462467528 km
3481,"(-24.638213, 118.585512)",S0001538,-24.639144,118.627366,4.238692134730539 km
3482,"(-24.638213, 118.585512)",S0001538,-24.665042,118.595195,3.129278851332842 km
3483,"(-24.638213, 118.585512)",S0001538,-24.664974,118.595579,3.13454887752697 km
3484,"(-24.638213, 118.585512)",S0001538,-24.6426,118.566359,1.999047585902376 km
3485,"(-24.638213, 118.585512)",S0001538,-24.63387,118.595431,1.1135290152714903 km
3486,"(-24.638213, 118.585512)",S0001538,-24.635599,118.597587,1.2563507343931262 km
3487,"(-24.638213, 118.585512)",S0001538,-24.666123,118.602985,3.5617856148192697 km
3488,"(-24.638213, 118.585512)",S0001538,-24.641351,118.621962,3.706619774048731 km
3489,"(-27.05574, 117.697197)",S0001380,-26.986976,117.636777,9.695574042622972 km
3490,"(-28.40897, 121.147797)",S0002897,-28.365134,121.118406,5.647946267676188 km
3491,"(-28.40897, 121.147797)",S0002898,-28.365134,121.118406,5.647946267676188 km
3492,"(-28.444611, 121.155098)",S0018933,-28.365134,121.118406,9.513709958092003 km
3493,"(-28.444611, 121.155098)",S0019383,-28.365134,121.118406,9.513709958092003 km
3494,"(-28.43095, 121.146103)",S0022300,-28.365134,121.118406,7.782757412912059 km
3495,"(-28.483949, 121.169987)",S0223460,-28.365134,121.118406,14.104269401931417 km
3496,"(-28.478071, 121.158546)",S0224705,-28.365134,121.118406,13.119704750080011 km
3497,"(-28.483949, 121.169987)",S0229619,-28.365134,121.118406,14.104269401931417 km
3498,"(-28.397473, 121.145223)",S0231974,-28.365134,121.118406,4.444503512093548 km
3499,"(-21.079196, 116.927548)",S0001501,-21.097615,116.889997,4.4026759922330525 km
3500,"(-21.079069, 116.923897)",S0019518,-21.097615,116.889997,4.07731568405056 km
3501,"(-21.066667, 116.936068)",S0022459,-21.097615,116.889997,5.887280807598309 km
3502,"(-21.079069, 116.923897)",S0023122,-21.097615,116.889997,4.07731568405056 km
3503,"(-21.079196, 116.927548)",S0001501,-21.073992,116.933046,0.8114219577632533 km
3504,"(-21.079069, 116.923897)",S0019518,-21.073992,116.933046,1.104481456527703 km
3505,"(-21.066667, 116.936068)",S0022459,-21.073992,116.933046,0.8696916690719021 km
3506,"(-21.079069, 116.923897)",S0023122,-21.073992,116.933046,1.104481456527703 km
3507,"(-21.066667, 116.936068)",S0022459,-20.933509,116.920635,14.829919858895412 km
3508,"(-23.715655, 119.281652)",S0002505,-23.713368,119.277747,0.4719440915420979 km
