,Zn,Ag,Cu,Pb,Au,Co,In,Ge,lat,long
385212,166.0,0.025,75.8,2.0,0.0005,3.3,0.005,1.0,-25.471056,118.645931
385213,88.0,0.025,80.0,2.1,0.0005,28.1,0.01,0.5,-25.470515,118.644193
385214,21.0,0.025,14.5,3.5,0.001,9.0,0.005,0.6,-25.469475,118.645183
385215,64.0,0.025,8.6,3.7,0.0005,34.5,0.02,1.0,-25.46699,118.647009
385216,17.0,0.025,39.6,4.1,0.022,7.2,0.005,1.1,-25.465974,118.643415
385217,34.0,0.025,11.8,6.0,0.0005,13.4,0.005,1.0,-25.463699,118.643414
385218,76.0,0.025,187.8,6.2,0.028,6.1,0.06,1.0,-25.455028,118.632407
385219,352.0,0.025,172.4,7.3,0.0005,148.9,0.03,1.2,-25.455713,118.632506
385220,43.0,0.025,191.2,3.0,0.003,5.3,0.07,0.9,-25.446458,118.635881
385221,18.0,0.025,28.9,9.1,0.0005,9.7,0.005,0.8,-25.445091,118.638587
385222,30.0,0.025,93.2,2.4,0.001,4.0,0.03,0.6,-25.441352,118.627381
385223,26.0,0.025,107.0,4.1,0.001,5.1,0.02,0.6,-25.441308,118.627261
385224,19.0,0.025,76.2,1.5,0.005,2.5,0.04,0.7,-25.442998,118.615699
385225,25.0,0.025,37.5,1.1,0.0005,7.9,0.06,0.3,-25.443234,118.615524
385226,13.0,0.025,85.5,0.9,0.005,2.2,0.005,1.4,-25.443458,118.615676
385227,7.0,0.025,6.0,5.6,0.0005,2.9,0.005,0.7,-25.443565,118.617517
385228,188.0,0.025,457.3,5.3,0.01,72.0,0.03,1.4,-25.444419,118.617787
385229,9.0,0.025,5.6,0.8,0.126,1.2,0.03,1.2,-25.47944,118.646154
385230,2.0,0.08,4.6,0.9,0.019,1.1,0.04,1.2,-25.479458,118.646165
385231,3.0,0.025,11.7,0.9,0.189,1.1,0.04,1.0,-25.479458,118.646165
385232,37.0,0.1,128.2,16.7,0.0025,5.4,0.03,3.0,-25.345795,118.565076
385233,119.0,0.05,365.5,11.6,0.0025,27.5,0.03,2.5,-25.350318,118.555745
385234,446.0,0.025,172.9,5.9,0.0025,141.3,0.01,0.05,-25.451476,118.642492
385235,6.0,0.025,15.6,13.8,1.018,1.9,0.005,0.6,-25.483486,118.654893
385236,80.0,0.08,272.7,46.6,0.0025,9.2,0.12,1.1,-25.483409,118.656135
385237,13.0,0.025,33.5,24.2,0.0025,3.8,0.01,0.9,-25.482877,118.6576
385238,10.0,0.025,23.3,7.3,0.0025,6.8,0.01,0.7,-25.478764,118.661323
