,Zn,Ag,Cu,Pb,Au,Co,In,Ge,lat,long
396,107.0,0.16,270.0,5.8,0.0015,38.4,0.155,0.14,-22.509657,117.683133
397,110.0,0.07,280.0,5.4,0.001,37.2,0.151,0.15,-22.509684,117.683172
398,107.0,0.1,305.0,5.7,0.0018,37.4,0.143,0.14,-22.509693,117.683221
399,55.0,0.07,78.4,44.0,0.084799995,10.5,0.513,0.14,-22.509729,117.683279
400,55.0,0.09,84.2,47.0,0.12700001,14.6,0.543,0.15,-22.509738,117.683328
401,62.0,0.09,69.2,38.5,0.0526,14.0,0.502,0.14,-22.509747,117.683357
402,152.0,0.17,318.0,2.4,0.0019,46.9,0.13,0.18,-22.509783,117.683435
403,98.0,0.3,367.0,7.5,0.0031000001,40.0,0.144,0.14,-22.509791,117.683493
404,118.0,0.26,487.0,2.9,0.0022,48.5,0.141,0.14,-22.5098,117.683552
405,109.0,0.1,301.0,5.2,0.0013,41.9,0.146,0.15,-22.508784,117.684529
406,117.0,0.09,263.0,5.7,0.0006,42.2,0.152,0.16,-22.508838,117.684529
407,120.0,0.05,278.0,6.3,0.0012,44.3,0.179,0.17,-22.508902,117.684539
408,53.0,0.11,114.5,51.0,0.0105,15.6,0.441,0.14,-22.508983,117.68453
409,55.0,0.1,124.0,51.0,0.0026,17.2,0.562,0.19,-22.50901,117.68451
410,54.0,0.09,155.5,48.0,0.0018,20.1,0.439,0.15,-22.509037,117.684491
411,138.0,0.17,299.0,8.6,0.0015,49.9,0.174,0.16,-22.509137,117.684453
412,120.0,0.14,282.0,2.7,0.0012,45.6,0.128,0.14,-22.509209,117.684424
413,123.0,0.07,206.0,4.3,0.00079999995,45.4,0.129,0.17,-22.509282,117.684376
414,132.0,0.06,367.0,3.9,0.0007,48.2,0.15,0.21,-22.512926,117.687787
415,89.0,0.06,280.0,9.5,0.001,43.3,0.154,0.14,-22.512944,117.687787
416,100.0,0.12,317.0,50.8,0.0005,46.1,0.162,0.15,-22.512962,117.687806
417,55.0,0.06,62.5,27.8,0.0136,7.4,0.351,0.15,-22.512692,117.687552
418,64.0,0.1,54.5,28.8,0.216,7.6,0.507,0.15,-22.512773,117.68764
419,57.0,0.1,60.2,34.9,0.042399998,9.8,0.357,0.14,-22.512854,117.687718
420,124.0,0.03,135.5,8.3,0.0019,41.0,0.13,0.25,-22.512566,117.687425
421,126.0,0.52,342.0,13.2,0.0017,45.6,0.115,0.21,-22.512584,117.687454
422,120.0,0.05,248.0,5.9,0.0014,49.0,0.124,0.21,-22.512602,117.687484
423,78.0,0.06,206.0,25.7,0.0011,30.1,0.148,0.16,-22.513888,117.680276
424,92.0,0.15,173.0,24.1,0.00079999995,26.2,0.182,0.19,-22.513906,117.680305
425,106.0,0.06,268.0,16.6,0.0007,36.0,0.153,0.18,-22.513924,117.680334
426,82.0,0.1,82.0,43.5,0.136,12.6,0.695,0.18,-22.513987,117.680403
427,80.0,0.14,83.8,43.9,0.214,13.1,0.676,0.18,-22.514032,117.680481
428,63.0,0.15,73.0,49.0,0.213,11.6,0.635,0.17,-22.514077,117.680549
429,118.0,0.2,336.0,3.9,0.002,47.0,0.161,0.18,-22.514112,117.680617
430,132.0,1.4,333.0,2.3,0.0025,48.8,0.105,0.2,-22.514121,117.680637
431,96.0,0.14,226.0,4.9,0.0013,38.9,0.126,0.18,-22.514121,117.680646
432,102.0,0.1,57.7,3.3,0.0003,57.3,0.08,0.21,-22.517791,117.682201
433,123.0,0.05,137.0,2.4,0.00079999995,35.0,0.12,0.18,-22.505228,117.690238
434,81.0,0.09,89.3,6.4,0.0015,33.6,0.093,0.14,-22.505862,117.681277
435,64.0,0.08,44.9,6.0,0.00079999995,7.7,0.039,0.09,-22.514743,117.685297
436,48.0,0.34,107.0,39.7,0.0045,14.0,0.513,0.19,-22.508983,117.68453
437,57.0,0.09,70.0,46.0,0.0359,10.2,0.364,0.19,-22.512854,117.687718
438,44.0,0.06,25.4,3.9,0.0009,2.0,0.014,0.1,-22.514743,117.685297
439,122.0,0.04,141.0,3.0,4.9999997e-05,39.3,0.122,0.2,-22.505228,117.690238
440,45.0,1.0,277.0,25.0,0.298,10.0,0.37,0.22,-22.515769,117.677621
441,136.0,1.0,207.0,8.0,0.0083,41.0,0.13,0.26,-22.505516,117.681868
442,133.0,1.0,139.5,7.0,0.0585,31.4,0.109,0.31,-22.504968,117.687602
443,64.0,1.0,126.5,26.0,0.0199,8.9,0.217,0.19,-22.516255,117.690759
444,125.0,1.0,80.0,40.5,0.0249,5.9,0.267,0.24,-22.513635,117.684504
445,112.0,1.0,67.0,6.0,0.0023,58.5,0.069,0.23,-22.515183,117.685853
446,105.0,1.0,166.0,11.0,0.0076,32.7,0.1,0.17,-22.51373,117.685632
4286,31.0,2.6,13.0,9.0,0.003,,0.005,2.3,-22.82298,114.177669
4287,1344.0,1.1,32.0,2.0,0.002,,0.03,6.6,-23.096282,114.169016
4288,365.0,0.5,45.0,2.0,0.002,,0.03,6.3,-23.096811,114.169307
4289,442.0,15.3,70.0,5.0,0.01,,0.005,5.0,-23.097998,114.169565
4290,349.0,35.4,90.0,6.0,0.018,,0.005,6.1,-23.100411,114.16972
4291,430.0,5.4,53.0,8.0,0.018,,0.005,5.3,-23.103184,114.169378
4292,317.0,16.7,60.0,6.0,0.01,,0.01,6.0,-23.102111,114.16944
4293,284.0,5.8,52.0,8.0,0.01,,0.005,4.1,-23.100735,114.169713
4294,109.0,0.05,21.0,17.0,0.0,,0.005,2.2,-23.103524,114.16528
4295,518.0,83.4,88.0,9.0,0.027,,0.005,6.5,-23.1051,114.16914
4296,25.0,0.3,6.0,9.0,0.0,,0.03,1.2,-23.05661,114.183557
4297,99.0,0.7,24.0,10.0,0.001,,0.005,2.8,-22.829118,114.180682
4298,316.0,2.1,42.0,15.0,0.034,,0.02,4.5,-23.099157,114.169879
4299,110.0,2.1,22.0,7.0,0.018,,0.005,3.4,-23.098431,114.170197
4300,379.0,35.7,73.0,11.0,0.006,,0.005,5.6,-23.097604,114.169863
4301,303.0,8.4,68.0,6.0,0.008,,0.005,4.9,-23.096892,114.1694
4302,279.0,26.6,65.0,15.0,0.007,,0.005,5.1,-23.094709,114.169465
4303,237.0,25.3,44.0,11.0,0.013,,0.005,3.6,-23.094376,114.16956
4304,293.0,23.9,46.0,8.0,0.027,,0.005,4.0,-23.093741,114.169388
4305,164.0,14.4,40.0,13.0,0.006,,0.02,4.3,-23.092527,114.16912
4306,515.0,25.2,60.0,15.0,0.02,,0.02,4.2,-23.091535,114.168663
4307,280.0,34.6,57.0,11.0,0.009,,0.02,3.2,-23.090661,114.168711
5854,37.0,0.03,35.7,1.0,0.002,42.6,0.061,0.3,-15.626826,126.394803
5855,8.0,0.02,18.7,0.5,0.001,14.6,0.034,0.18,-15.626781,126.394813
5856,42.0,0.03,33.3,0.4,0.001,64.7,0.079,0.32,-15.626826,126.394803
5857,10.0,0.09,32.3,0.6,0.005,6.4,0.028,0.1,-15.626799,126.394822
5858,35.0,0.1,88.2,1.0,0.001,23.5,0.078,0.39,-15.626827,126.394831
5859,34.0,0.14,212.0,3.6,0.001,4.2,0.046,0.89,-15.625719,126.395152
5860,25.0,0.09,88.4,4.6,0.001,3.9,0.031,0.38,-15.625792,126.395189
5861,188.0,0.21,229.0,72.0,0.0005,15.1,0.09,0.97,-15.627821,126.384295
5862,149.0,0.15,124.5,71.8,0.0005,15.9,0.071,0.69,-15.627803,126.384295
5863,150.0,0.19,211.0,59.4,0.001,12.3,0.072,1.11,-15.62774,126.384333
5864,144.0,0.16,275.0,38.0,0.001,11.7,0.099,0.62,-15.627569,126.384363
5865,162.0,0.16,227.0,53.8,0.0005,8.4,0.083,0.63,-15.626975,126.384529
5866,153.0,0.11,264.0,80.0,0.001,16.0,0.03,0.5,-15.626505,126.384554
5867,47.0,0.03,44.2,14.7,0.001,5.1,0.065,0.11,-15.628028,126.385001
5868,21.0,0.13,79.9,35.3,0.003,12.1,0.132,0.36,-15.634039,126.349326
11748,17.5,0.15,2.0,3.5,0.01,0.9,0.05,0.1,-17.84075,126.751452
11749,51.0,0.2,19.0,14.0,0.0001,11.1,0.05,0.4,-17.84075,126.751452
11750,25.0,0.15,41.0,22.0,0.0046,2.0,0.05,0.1,-17.84075,126.751452
11751,6.5,0.1,6.5,2.5,0.0014,0.8,0.05,0.05,-17.84075,126.751452
11752,12.0,0.1,8.0,28.0,0.0098,2.7,0.05,0.05,-17.84075,126.751452
11753,1.0,0.1,2.2,1.5,0.0018,0.8,0.05,0.05,-17.84075,126.751452
11754,15.5,0.15,280.0,4.0,0.0012,1.1,0.05,0.1,-17.84075,126.751452
11755,11.5,0.05,22.0,7.0,0.0072,1.0,0.05,0.05,-17.84075,126.751452
11756,39.0,0.1,30.0,11.5,0.0006,1.4,0.05,0.05,-17.84075,126.751452
11757,26.0,0.1,5.5,16.5,0.001,1.9,0.05,0.5,-17.84075,126.751452
11758,7.5,0.3,47.0,83.0,0.0026,1.3,0.05,0.4,-17.84075,126.751452
11759,51.0,0.025,7.0,33.0,0.0004,10.6,0.05,0.9,-17.84075,126.751452
11760,57.0,0.025,5.5,41.0,0.0006,10.3,0.05,1.0,-17.84075,126.751452
11761,10.5,0.05,1.0,3.5,0.0014,0.9,0.05,0.2,-17.849717,126.7583
11762,15.5,0.1,0.4,75.0,0.0001,1.7,0.05,0.1,-17.849717,126.7583
11763,0.4,0.15,0.8,2.5,0.0012,0.9,0.05,0.2,-17.849717,126.7583
11764,5.5,0.1,0.1,2.0,0.001,1.0,0.05,0.05,-17.849717,126.7583
11765,13.5,0.1,0.1,4.0,0.001,0.9,0.05,0.2,-17.849717,126.7583
11766,19.0,0.05,0.2,11.0,0.0008,0.9,0.05,0.05,-17.849717,126.7583
11767,22.0,0.05,2.2,3.5,0.0014,0.7,0.05,0.05,-17.849717,126.7583
11768,0.2,0.1,0.6,3.5,0.002,0.7,0.05,0.3,-17.849717,126.7583
11769,13.5,0.1,5.5,4.0,0.0012,0.6,0.05,0.3,-17.849717,126.7583
11770,11.0,0.05,0.1,8.5,0.001,0.7,0.05,0.2,-17.849717,126.7583
11771,14.5,0.05,6.5,6.5,0.001,0.8,0.05,0.2,-17.849717,126.7583
11772,13.5,0.1,11.5,3.5,0.0014,0.7,0.05,0.3,-17.849717,126.7583
11773,12.0,0.1,4.0,3.0,0.0014,0.6,0.05,0.3,-17.849717,126.7583
11774,14.0,0.025,32.0,4.0,0.0014,0.7,0.05,0.3,-17.849717,126.7583
11775,13.5,0.1,0.6,6.5,0.0004,0.7,0.05,0.3,-17.849717,126.7583
11776,8.5,0.1,0.1,8.0,0.0008,0.7,0.05,0.3,-17.849717,126.7583
11777,10.5,0.1,17.0,3.0,0.0008,0.7,0.05,0.2,-17.849717,126.7583
11778,11.0,0.1,0.4,2.5,0.0008,0.7,0.05,0.2,-17.849875,126.772079
11779,5.5,0.1,0.8,12.0,0.0004,0.7,0.05,0.3,-17.849875,126.772079
11780,3.0,0.1,0.2,6.0,0.001,0.6,0.05,0.3,-17.849875,126.772079
11781,5.5,0.1,0.4,3.5,0.0014,0.7,0.05,0.3,-17.849875,126.772079
11782,9.0,0.1,4.6,3.5,0.0068,0.7,0.05,0.3,-17.849875,126.772079
11783,0.2,0.05,0.6,4.5,0.0022,0.7,0.05,0.1,-17.849875,126.772079
11784,27.0,0.025,1.4,5.0,0.0012,1.0,0.05,0.05,-17.849875,126.772079
11785,19.5,0.05,9.0,4.5,0.001,0.7,0.05,0.1,-17.849875,126.772079
11786,9.0,0.025,4.8,14.5,0.0001,0.8,0.05,0.05,-17.849875,126.772079
11787,1.8,0.025,7.0,10.5,0.0004,0.8,0.05,0.05,-17.849875,126.772079
11788,32.0,0.025,0.1,4.5,0.0002,0.9,0.05,0.05,-17.849875,126.772079
11789,52.0,0.025,0.4,1.5,0.002,0.8,0.05,0.05,-17.849875,126.772079
11790,17.0,0.025,0.2,7.5,0.0004,0.8,0.05,0.05,-17.849875,126.772079
11791,12.5,0.025,1.0,8.0,0.0004,0.7,0.05,0.05,-17.849875,126.772079
11792,19.0,0.025,0.2,4.0,0.001,0.9,0.05,0.05,-17.849875,126.772079
11793,11.5,0.025,0.2,3.5,0.0014,1.0,0.05,0.05,-17.849875,126.772079
11794,4.6,0.025,0.4,9.0,0.0022,1.0,0.05,0.05,-17.849875,126.772079
11795,7.0,0.025,0.1,8.0,0.0001,0.9,0.05,0.1,-17.849875,126.772079
11796,9.5,0.025,0.1,2.5,0.0032,0.7,0.05,0.05,-17.849875,126.772079
11797,0.4,0.025,0.1,3.0,0.0004,0.8,0.05,0.05,-17.849875,126.772079
12462,10.4,0.01,4.2,1.9,0.0018,1.44,0.01,0.05,-27.561155,119.835919
12463,20.4,0.025,15.0,27.0,0.001,0.86,0.01,0.05,-27.607584,119.626341
12464,0.05,0.02,1.87,3.55,0.0008,0.28,0.01,0.05,-27.606501,119.626335
12465,3.93,0.005,4.39,0.37,0.0004,0.66,0.01,0.05,-27.511602,119.846859
12466,17.7,0.015,3.51,1.95,0.0008,1.47,0.01,0.45,-27.516683,119.847172
13028,68.0,0.2,96.0,277.0,,5.5,0.01,1.6,-23.517468,119.758325
13029,307.0,0.5,453.0,208.0,,12.8,0.01,1.3,-23.518242,119.756432
13030,222.0,1.5,426.0,636.0,,10.9,0.02,1.2,-23.518103,119.756596
13031,30.0,1.0,25.0,26.0,,1.5,0.02,0.6,-23.517034,119.757347
13032,396.0,0.2,125.0,254.0,,12.9,0.03,0.9,-23.581634,119.420997
13033,122.0,0.1,57.0,138.0,,6.1,0.01,0.8,-23.581423,119.421776
13034,219.0,0.2,147.0,338.0,,12.4,0.04,0.7,-23.580992,119.421612
13035,282.0,0.1,204.0,284.0,,16.3,0.08,1.1,-23.581168,119.421879
13056,346.0,0.2,428.0,221.0,,20.5,0.08,1.3,-23.579873,119.422727
13057,180.0,0.2,119.0,466.0,,15.5,0.02,0.4,-23.576409,119.425494
13058,353.0,0.1,162.0,153.0,,28.6,0.02,0.9,-23.57897,119.423915
13059,87.0,0.2,228.0,1018.0,,10.8,0.1,1.0,-23.636137,119.42291
13060,318.0,0.3,244.0,213.0,,13.1,0.05,1.1,-23.63697,119.422749
13061,185.0,0.1,628.0,295.0,,11.2,0.01,1.0,-23.634685,119.421648
13062,89.0,0.1,142.0,100.0,,7.7,0.02,1.0,-23.634772,119.421317
13063,294.0,0.1,432.0,201.0,,32.3,0.05,1.0,-23.634592,119.420108
13064,445.0,0.2,99.0,77.0,,28.6,0.06,1.2,-23.633772,119.419476
13065,217.0,0.3,53.0,316.0,,14.8,0.06,0.8,-23.565777,119.630053
13066,255.0,0.2,69.0,665.0,,16.4,0.07,0.7,-23.565897,119.629918
13069,271.0,0.2,27.0,82.0,,32.5,0.02,1.2,-23.562587,119.632996
13071,423.0,0.2,166.0,163.0,,29.4,0.01,1.3,-23.550259,119.612551
13072,498.0,0.5,86.0,280.0,,25.2,0.01,0.8,-23.550318,119.609527
13073,299.0,0.6,746.0,37.0,,36.9,0.13,1.3,-23.549278,119.610192
13075,403.0,0.1,295.0,232.0,,21.7,0.01,1.1,-23.592331,119.568144
13500,64.0,0.09,3.5,16.9,0.002,5.4,0.023,0.08,-32.986468,122.739142
13501,42.0,0.11,1.2,16.0,0.002,5.6,0.023,0.025,-32.985857,122.740482
13502,33.0,0.09,2.5,14.5,0.002,6.9,0.021,0.025,-32.982869,122.730783
13503,41.0,0.05,1.4,15.7,0.001,3.9,0.022,0.025,-32.986573,122.750659
13504,4.0,0.16,4.8,8.8,0.002,0.9,0.008,0.11,-33.004464,122.761752
13505,2.0,0.03,2.9,2.9,0.001,0.7,0.005,0.025,-32.998358,122.772227
13506,2.0,0.1,3.4,3.2,0.001,0.5,0.0025,0.06,-33.028637,122.761206
13507,1.0,0.03,2.5,2.3,0.001,0.3,0.0025,0.05,-33.033826,122.757883
13508,2.0,0.09,4.3,2.8,0.001,0.5,0.0025,0.09,-33.049996,122.760462
13509,1.0,0.02,3.2,1.9,0.001,0.5,0.005,0.06,-33.034266,122.780863
15133,15.0,0.04,0.3,5.4,0.1,4.3,0.01,0.025,-24.848145,116.509179
15134,4.0,0.01,0.2,1.4,0.1,1.9,0.0025,0.025,-24.856296,116.518817
15135,5.0,0.01,0.3,15.4,0.1,6.7,0.019,0.025,-24.84246,116.505005
15136,5.0,0.01,0.2,3.8,0.1,1.4,0.006,0.025,-24.838636,116.503714
15137,31.0,0.01,5.8,4.7,0.1,10.5,0.013,0.05,-24.822553,116.509715
15138,34.0,0.005,11.9,9.1,0.1,9.2,0.011,0.05,-24.817911,116.509733
15139,27.0,0.01,15.1,12.5,0.1,9.8,0.026,0.08,-24.831227,116.510957
16271,15.0,0.04,0.3,5.4,0.1,4.3,0.01,0.025,-24.848145,116.509179
16272,4.0,0.01,0.2,1.4,0.1,1.9,0.0025,0.025,-24.856296,116.518817
16273,5.0,0.01,0.3,15.4,0.1,6.7,0.019,0.025,-24.84246,116.505005
16274,5.0,0.01,0.2,3.8,0.1,1.4,0.006,0.025,-24.838636,116.503714
16275,31.0,0.01,5.8,4.7,0.1,10.5,0.013,0.05,-24.822553,116.509715
16276,34.0,0.005,11.9,9.1,0.1,9.2,0.011,0.05,-24.817911,116.509733
16277,27.0,0.01,15.1,12.5,0.1,9.8,0.026,0.08,-24.831227,116.510957
16278,4.0,0.01,1.5,4.0,0.1,0.7,0.0025,0.025,-24.758803,116.255962
16279,13.0,0.03,0.4,3.2,0.1,4.3,0.013,0.025,-24.719648,116.262127
16280,14.0,0.02,0.6,2.3,0.1,4.6,0.011,0.025,-24.7191,116.260993
16281,15.0,0.02,16.3,6.0,0.1,4.6,0.021,0.025,-24.665614,116.313322
16282,5.0,0.01,0.4,1.9,0.1,4.6,0.0025,0.025,-24.707082,116.259492
16283,4.0,0.03,0.2,1.1,0.1,1.4,0.0025,0.025,-24.673709,116.235356
16284,41.0,0.04,7.5,5.1,0.1,7.6,0.037,0.14,-24.7191,116.260993
16501,41.0,0.05,20.8,3.1,0.234,4.1,0.01,0.025,-16.606091,128.248212
16502,7.0,0.03,24.9,6.7,0.2,0.8,0.007,0.025,-16.60808,128.248579
16503,4.0,0.01,3.2,1.1,0.008,0.4,0.0025,0.025,-16.607721,128.249143
16504,8.0,0.01,4.5,1.7,0.007,0.4,0.0025,0.025,-16.613935,128.242744
16505,25.0,0.02,4.3,9.9,0.002,2.3,0.024,0.025,-16.603083,128.253932
17156,64.0,0.09,3.5,16.9,0.002,5.4,0.023,0.08,-32.986468,122.739142
17157,42.0,0.11,1.2,16.0,0.002,5.6,0.023,0.025,-32.985857,122.740482
17158,33.0,0.09,2.5,14.5,0.002,6.9,0.021,0.025,-32.982869,122.730783
17159,41.0,0.05,1.4,15.7,0.001,3.9,0.022,0.025,-32.986573,122.750659
17160,4.0,0.16,4.8,8.8,0.002,0.9,0.008,0.11,-33.004464,122.761752
17161,2.0,0.03,2.9,2.9,0.001,0.7,0.005,0.025,-32.998358,122.772227
17162,2.0,0.1,3.4,3.2,0.001,0.5,0.0025,0.06,-33.028637,122.761206
17163,1.0,0.03,2.5,2.3,0.001,0.3,0.0025,0.05,-33.033826,122.757883
17164,2.0,0.09,4.3,2.8,0.001,0.5,0.0025,0.09,-33.049996,122.760462
17165,1.0,0.02,3.2,1.9,0.001,0.5,0.005,0.06,-33.034266,122.780863
19206,74.0,0.005,52.7,0.7,0.005,56.8,0.043,0.42,-31.048801,121.094829
19207,232.0,0.05,152.0,3.6,0.04,48.5,0.029,0.23,-31.042848,121.095461
19208,74.0,0.13,298.0,5.0,0.26,5.2,0.088,0.23,-31.04237,121.095513
19209,625.0,0.03,348.0,5.2,0.06,57.9,0.057,2.06,-31.043908,121.098824
19210,25.0,0.05,15.9,1.2,0.02,9.6,0.0025,0.1,-31.043865,121.098972
19211,16.0,0.04,20.4,1.1,0.07,3.4,0.019,0.09,-31.047021,121.097652
24985,14.0,0.03,11.6,1.2,,1.6,0.007,0.025,-23.72231,119.290297
24986,18.0,0.05,55.7,1.4,,4.4,0.053,0.11,-23.722511,119.290732
24987,72.0,0.1,54.2,21.8,,14.9,0.076,0.07,-23.720042,119.286168
24988,2560.0,1.56,127.5,790.0,,7.6,0.488,0.025,-23.718043,119.284555
24989,235.0,0.11,68.1,15.0,,14.1,0.026,0.12,-23.717327,119.283532
24990,184.0,0.88,776.0,556.0,,9.7,0.025,0.05,-23.714802,119.279664
24991,525.0,0.28,81.2,590.0,0.005,48.8,0.056,0.06,-23.709158,119.27184
24992,103.0,1.84,43.6,766.0,,4.0,0.023,0.025,-23.709331,119.271716
24993,1355.0,8.3,670.0,6420.0,,6.9,0.557,0.08,-23.709422,119.271668
24994,142.0,0.07,90.0,31.2,0.005,22.7,0.084,0.11,-23.697506,119.251256
24995,47.0,0.36,101.5,95.6,0.005,7.3,0.03,0.1,-23.700995,119.257777
24996,31.0,0.05,65.4,8.3,0.005,7.6,0.031,0.025,-23.726979,119.294428
24997,68.0,0.15,205.0,17.5,0.005,3.6,0.127,0.18,-23.726545,119.29141
24998,72.0,0.12,125.0,14.3,0.01,4.8,0.081,0.06,-23.725898,119.290624
24999,124.0,0.02,43.4,5.3,0.005,20.7,0.097,0.15,-23.725541,119.290961
25000,966000.0,64.1,2520.0,542000.0,0.06,61.5,1.63,0.14,-23.723082,119.288731
25001,302.0,0.38,121.5,173.5,0.005,4.7,0.054,0.09,-23.724492,119.289217
25002,114.0,0.16,172.5,73.3,0.005,4.7,0.049,0.025,-23.723757,119.285213
25003,55.0,0.17,89.7,39.8,0.005,3.6,0.056,0.025,-23.723096,119.285947
25004,51.0,0.11,119.0,73.6,0.05,7.4,0.086,0.2,-23.723236,119.2869
25005,455.0,1.08,99.4,473.0,0.005,9.4,0.016,0.025,-23.722703,119.288107
25006,176000.0,29.9,737.0,,0.09,148.5,1.015,0.29,-23.722459,119.288122
25007,3750.0,12.3,140.5,178000.0,0.02,5.3,0.862,0.025,-23.720003,119.286344
25008,116.0,0.2,65.1,297.0,0.01,9.1,0.045,0.025,-23.720067,119.286286
25009,188.0,1.85,4220.0,3660.0,0.12,3.3,0.02,0.05,-23.717188,119.283147
25010,149.0,1.76,14000.0,119.5,0.005,31.5,0.059,0.12,-23.718009,119.281377
25011,112.0,0.31,100.0,113.5,0.005,1.7,0.131,0.1,-23.714388,119.278961
25012,112.0,2.46,579.0,2900.0,0.005,3.5,0.015,0.025,-23.714379,119.27898
25013,28.0,3.19,1895.0,80.7,0.005,0.6,0.124,0.08,-23.714238,119.278782
25014,484.0,0.6,79.7,2410.0,0.005,9.9,0.014,0.025,-23.713368,119.277747
25015,389.0,2.25,980.0,6150.0,0.005,1.3,0.094,0.025,-23.713386,119.277728
25016,102.0,0.86,90.0,124.5,0.005,1.6,0.017,0.025,-23.713405,119.277708
25017,36.0,0.02,8.0,35.7,0.005,8.9,0.008,0.025,-23.714253,119.271595
25018,58.0,3.72,46.3,408.0,0.01,0.9,0.067,0.025,-23.712417,119.276142
25019,166.0,0.65,46.7,480.0,0.005,5.0,0.005,0.025,-23.710715,119.274024
25020,219.0,20.8,497.0,1205.0,0.01,2.0,1.94,0.025,-23.71077,119.273957
25021,74.0,2.2,24.3,100.0,0.005,3.0,0.086,0.025,-23.710806,119.273918
25022,356.0,16.1,320.0,787.0,0.12,2.5,1.015,0.11,-23.710852,119.27387
25023,451.0,1.67,71.5,155.0,0.005,4.5,0.172,0.025,-23.71088,119.273831
25024,47.0,2.84,59.5,592.0,0.005,1.9,0.014,0.025,-23.709295,119.271705
25025,154.0,2.16,60.1,731.0,0.005,5.6,0.03,0.025,-23.709332,119.271677
25026,504.0,10.95,803.0,7530.0,0.04,3.5,0.611,0.025,-23.709459,119.27161
25027,509.0,0.83,55.7,131.5,0.005,5.5,0.034,0.025,-23.709649,119.271564
25028,247.0,1.7,175.5,504.0,0.005,6.4,0.123,0.07,-23.709723,119.271468
25029,105.0,25.9,222.0,2160.0,0.03,1.6,0.849,0.06,-23.709246,119.270734
25030,91.0,13.5,381.0,929.0,0.01,1.0,0.557,0.15,-23.708788,119.270549
25031,103.0,0.62,44.2,306.0,0.005,2.1,0.083,0.41,-23.708175,119.269313
25032,2260.0,6.95,190.5,555.0,0.11,5.6,0.087,0.43,-23.707214,119.268316
25033,142.0,0.24,42.6,282.0,0.005,6.6,0.008,0.025,-23.706065,119.266639
25034,316.0,0.51,67.5,487.0,0.005,15.8,0.027,0.025,-23.706029,119.266678
25035,492.0,0.38,89.6,343.0,0.005,20.5,0.012,0.025,-23.705982,119.266746
25036,66.0,0.78,3190.0,123.5,0.005,8.4,0.361,0.09,-23.707102,119.26554
25037,289.0,27.2,3080.0,,0.01,0.9,0.118,0.025,-23.70515,119.265006
25038,53.0,0.73,65.6,578.0,0.005,12.6,0.009,0.025,-23.703957,119.262642
25039,13.0,0.28,235.0,740.0,0.005,2.5,0.024,0.025,-23.704066,119.261987
25040,12.0,0.3,387.0,48.6,0.005,8.8,0.052,0.025,-23.70332,119.26117
25041,25.0,0.14,206.0,55.4,0.005,8.8,0.083,0.08,-23.702244,119.259406
25042,93.0,0.03,11.0,131.5,0.005,14.7,0.036,0.025,-23.699924,119.256288
25043,186.0,0.22,312.0,63.5,0.005,42.8,0.157,0.22,-23.69888,119.254839
25044,17.0,0.1,256.0,109.5,0.005,4.9,0.053,0.025,-23.698073,119.253835
25045,194.0,0.32,173.5,1465.0,0.005,10.5,0.087,0.08,-23.699718,119.256196
25046,79.0,0.05,50.6,43.2,0.005,20.7,0.061,0.025,-23.697119,119.253044
25047,31.0,0.36,286.0,13.1,0.005,7.0,0.854,0.025,-23.697174,119.252986
25048,31.0,0.03,39.6,17.1,0.005,16.7,0.028,0.025,-23.697237,119.252967
25049,85.0,0.1,101.5,176.5,0.005,13.2,0.022,0.025,-23.697454,119.252981
25050,11.0,0.08,77.8,17.6,0.005,2.8,0.033,0.025,-23.725631,119.292188
25051,17.0,0.11,87.2,37.1,0.005,3.9,0.013,0.025,-23.72564,119.292179
25052,15.0,0.04,56.3,18.0,0.005,4.3,0.007,0.025,-23.725658,119.292169
25053,838000.0,174.0,2470.0,,0.21,25.7,4.12,0.66,-23.722923,119.288533
25054,3030.0,35.0,329.0,118000.0,0.005,3.1,1.035,0.025,-23.722913,119.288542
25055,281000.0,14.9,121.5,134000.0,0.02,5.6,0.763,0.025,-23.722927,119.288533
25056,213.0,0.32,63.9,226.0,0.02,2.7,0.056,0.025,-23.723029,119.288417
25057,1485.0,0.71,210.0,478.0,0.005,28.4,0.034,0.025,-23.723106,119.28834
25062,34.0,0.01,34.8,4.1,0.005,12.8,0.014,0.025,-23.726989,119.294397
25063,70.0,0.01,196.0,4.4,0.005,27.3,0.041,0.08,-23.726919,119.294375
29687,343.0,0.9,76.0,45.0,0.0005,,0.005,3.6,-23.082417,114.194307
29688,481.0,15.1,59.0,38.0,0.003,,0.02,3.2,-23.107136,114.169419
29689,353.0,1.8,45.0,37.0,0.009,,0.005,3.6,-23.120392,114.169775
29690,380.0,1.3,43.0,26.0,0.0005,,0.005,5.2,-23.179465,114.198534
29691,391.0,9.6,103.0,38.0,0.001,,0.01,2.7,-22.991313,114.138012
29692,325.0,9.1,97.0,32.0,0.002,,0.02,3.7,-22.991313,114.138012
29693,252.0,1.4,80.0,13.0,0.0005,,0.04,3.3,-22.990642,114.16895
29694,258.0,0.5,39.0,42.0,0.0005,,0.005,2.1,-22.919547,114.128337
29695,154.0,0.6,38.0,42.0,0.0005,,0.005,2.6,-22.919547,114.128337
29696,241.0,0.3,38.0,42.0,0.0005,,0.005,2.4,-22.920874,114.138326
29697,174.0,0.5,30.0,38.0,0.0005,,0.005,2.0,-22.916829,114.126241
